prolific_pid,topic,choice,personality,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
54dbaa4d7236b5e3f2810f79a98bb0ea6e053f539c0ee49a3274db3d2a8e5a77,design_2,introversion,extrovert,54,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
5849e0f6323769f0a65839e3adb6d949f3355fd8ccc80163ba9240a3536f9497,design_2,introversion,extrovert,33,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Other
837f81f0aae60e1c073b90e50cbe5bd0b77b54de6cd9fc37f0d34f26101d5cdb,design_2,introversion,extrovert,62,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
e34239431bec79564d30e3d5cc8bfaf75fd34cbb079ae5b89b1ab61ca9ca6258,design_2,equal,extrovert,52,Female,White,Kenya,United Kingdom,United Kingdom,English,No,Part-Time
bb4f5337a0439ceb6c9905148838f0fe1313bb36504eb6229171f4a652b948b0,design_2,equal,extrovert,21,Female,Mixed,Cambodia,United Kingdom,United Kingdom,English,Yes,Full-Time
55fb050067e90671aafd9c071e22b42639d2bf81f86c92dcc436150db71a83e6,design_2,extroversion,extrovert,31,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
6d6f55dea82199ee328964c762a064a24b41ffcacac1e2e7e9efcf064c9828e0,design_2,extroversion,extrovert,36,Female,White,United States,United States,United States,English,No,Full-Time
03194e0339994c77d562f1dbcb53c6452051e6701746131529950613ab21163b,design_2,equal,extrovert,42,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
c7d0025af82b46d6fba1a4817c42da158833377209cf731cfd4a6dd388981b1b,design_2,extroversion,extrovert,64,Female,Black,Kenya,United Kingdom,United Kingdom,English,No,Part-Time
f52eb97cc0db7cd8991e6e2d1ed98cae8db4c235281ef7390a5d19d971b695f3,design_2,extroversion,extrovert,20,Female,Black,South Africa,United States,South Africa,English,No,Part-Time
5e66845fc43e0a2fe3dbdb5c543dd0d8852974073db9b06ee0052a1b4f79a528,design_2,introversion,extrovert,33,Male,White,Kenya,United Kingdom,United Kingdom,English,No,Part-Time
a9f6a2cace7bc19465a34e82778991be9b543a62013d37df48fe048c85ff5a07,design_2,extroversion,extrovert,33,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
5e08e5e2a5013257f01dab6fed0be8af8e64406f7a9ed61094a46b100d0e004a,design_2,introversion,extrovert,61,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
1f738c19db937233d461ddce410f6c7b39cb1e120000b8d9880bbd85b76cd3d5,design_2,extroversion,extrovert,47,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
5787ed3d35d3d6c681d7ae72f5900c3ef9ea0b4cf38cd7d09083394eb9c6db80,design_2,introversion,extrovert,54,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
342895fa14b486503f87dd82b2c86025523c46529c9263c6ba66e8ff030d324d,design_2,introversion,extrovert,62,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
c7d44cf04c42fd700a766e8d2fd01b7eb87fccdfbcfa51bc268d072d57402bcc,design_2,introversion,introvert,26,Female,Asian,United States,United States,Korea,English,No,Full-Time
15fb091eedc8ebcac6659d606ee63405a929d09d56527b641520c67937937ad9,design_2,extroversion,introvert,48,Female,Mixed,United States,United States,United States,English,No,Full-Time
440baffd94936b614323a8b60d1f8078ea6df68d85c21145598872ac979c4f6a,design_2,extroversion,introvert,40,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
e8243da2f4badcbf20f1125f288fc161f56953c690d421490a4a157834fa94fb,design_2,introversion,introvert,71,Male,White,United States,United States,United States,English,No,Full-Time
1e511f4bf7486f60d3bddd7f666d1361f239ba541dd49b6fb01e92a978702b48,design_2,introversion,introvert,48,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
84db36c0f274975537fbe44af6611a5f901ca29971d956e05f84625370aacd25,design_2,introversion,introvert,42,Male,White,United States,United States,United States,English,No,Full-Time
937acdabe71fb2accbe1a37f35371f61c9e11d8bd3893732f5530e45de080063,design_2,introversion,introvert,64,Female,White,United States,United States,United States,English,No,Other
641e3b41c38aa4322be875907f1764e0154343954531c5a8f98cfad6de2b29d6,design_2,equal,introvert,30,Female,Asian,Korea,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
44d78f7f57fbe9ade6bc65f18b49db950e556686914b2b8df022f4c3be285803,design_2,extroversion,introvert,38,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
912303d2f52758ac17a63a89b9ade5f224b94f0b94f527025da2f8adf0f9a663,design_2,equal,introvert,34,Male,White,United States,United States,United States,English,No,Full-Time
e5fb42887615ffbfb365d8dd964872eef38189bfd18b4123cfb51ada12c51e8c,design_2,introversion,introvert,57,Male,White,Germany,United States,United States,German,No,Other
b23d695e410680503126ce4d794721ea60add361ea86fa1cb4e385844922cd37,design_2,equal,introvert,40,Male,White,United States,United States,United States,English,No,Full-Time
2c3641480e52d69b7a467cc56ebe7bfa0d373c2705995ea09320f9019b939338,design_2,introversion,introvert,64,Male,Asian,United States,United States,United States,English,No,Full-Time
046a583f1fef98bbbf35508dbe98a26ae4f8c1f67c75595a018c71a63c63e39e,design_2,introversion,introvert,56,Male,White,United States,United States,United States,English,No,Full-Time
a42369950ad1b1a74f654745d2bc6f9400b3c8d5a306f25ae52a46040e04da80,design_2,extroversion,introvert,31,Female,Asian,United States,United States,United States,English,No,Full-Time
118a0f9a5b0264a464e44f8f7c1ad39ddf24aebc5ecefaf0854408e123619ed1,design_2,extroversion,introvert,42,Female,White,United States,United States,United States,English,DATA_EXPIRED,Full-Time
29933de9bfb7d7bcc106dba28b8b4b8e535d718f1a4912a4e7c9903b216dd863,design_2,extroversion,introvert,66,Male,White,Netherlands,United States,Netherlands,Dutch,No,Full-Time
f0ef8b8d56092411f778ecc8f353bca680db14e6d41415756e51a6add6095b43,design_2,introversion,introvert,53,Male,White,United States,United States,United States,English,No,Part-Time
19c8dbbbf8614b99aacb6c146102b9abcf41d594d9074092a4ddef1fe73c78d1,design_2,equal,introvert,65,Female,White,United States,United States,United States,English,No,Due to start a new job within the next month
d14f0f431bd6aeb2ec9de98e0092597b7a21a792931e170e2d0b610e21e5caf9,design_2,introversion,introvert,23,Female,White,United States,United States,United States,English,No,Full-Time
a1c8277c39e4b244a4e9e450131970e2368a4cf49c1a6a3fe0d09efe6c4a622c,design_2,extroversion,introvert,24,Male,Black,United States,United States,United States,English,No,Part-Time
dda96bba936f508f28b8a119bbee7263c586b0fc6226d486a62f05b0ac8f6b72,design_2,introversion,introvert,50,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
604f049e4a8be65f5d2e1182502bc5602d14f3b91b66ecd9e4312ddae371cec2,design_2,introversion,introvert,32,Male,Other,Mexico,United States,United States,English,Yes,Full-Time
01416ed3e4bd50b06ab946fb707eeb9b683f843f5ca8f2f6c784293bc34adaf2,design_2,introversion,introvert,27,Female,White,United States,United States,United States,English,No,Full-Time
8271ae4dda7947f08cc6e04bde322146a1cb3570becd6a3eaca963cbdda8aca3,design_2,equal,introvert,31,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
24a41014c474e1c001e322a5a430f495e16645ff32c4b8093c26db442338a7f6,design_2,introversion,introvert,50,Female,White,United States,United States,United States,English,No,Full-Time
2212f5cf1e9ed5e855e65003c79c66cd527e4cadecb7b9b827b0ef7744721cf7,design_2,extroversion,introvert,38,Female,White,United States,United States,United States,English,No,Part-Time
56691893db40421711c11e1847e71e39197d4124015e5341cfac5ece840476dd,design_2,introversion,introvert,24,Female,White,United States,United States,United States,English,Yes,Full-Time
f31b65c9ef3677b6ccc9f223f21ef4c2c31a0488a96982f72b5fa34bbc2edf1e,design_2,introversion,introvert,42,Male,White,United States,United States,United States,English,Yes,Full-Time
38e3f57a63abfa792248766878edf4514134a5cf09dcd790c0ec269e07c72f4b,design_2,introversion,introvert,41,Female,White,United States,United States,United States,English,No,Full-Time
ac34f1168337284d22a10ad3fcd765e6d178a86a4e6861e77bd7446bbed1a6e9,design_2,extroversion,introvert,24,Female,White,United States,United States,United Kingdom,English,No,Part-Time
baa17db014b60653cf571b9d77b4ef247daa784e4e2cf56552cc36605e764e9b,design_2,equal,introvert,39,Female,White,United States,United States,United States,English,No,Full-Time
19a1ef07db86155fb84dd9212599c110a07cd890ce9d9fdf9b3be224f20df415,design_2,extroversion,introvert,29,Female,White,United States,United States,United States,English,No,Full-Time
8c789f799828a39e17673dfe411ddd43f289a4090b11e453560a3befe1d15aa2,design_2,introversion,introvert,49,Male,White,United States,United States,United States,English,No,Full-Time
c2dad838c016ab46d561678e5ec3c21202bd738ab339ecced12f2b6fba04f802,design_2,introversion,introvert,33,Male,DATA_EXPIRED,United States,United States,United States,English,DATA_EXPIRED,Full-Time
2f846c1089194fab935507f58a046350decfc5ea90a39667758743feac171300,design_2,equal,introvert,61,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
e43d44eec7fbb9047fa99085f6d8a48c18836a41b1360f620bb78f9b4d11b7df,design_2,extroversion,introvert,41,Male,White,United States,United States,United States,English,No,DATA_EXPIRED
c30f7b7ba39ad6009c813afb1b9ab524becc12746b9cbceea18f06e313739330,design_2,introversion,introvert,44,Female,Asian,United States,United States,United States,English,No,Full-Time
e8ad6c02c070fe898d37698ca36492323048b798a189a468d8a8ef4754c2a326,design_2,equal,introvert,43,Male,White,United States,United States,United States,English,No,Full-Time
561bba33308b460c3ab029d6a8b232e8b6550e2301ef83ea3265991bfe22dac3,design_2,equal,introvert,59,Female,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
e6d3339a811570a9f7031c9c326e690d788bc8faf689645c688103748445c224,design_2,equal,introvert,34,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
8f316bf20ee66bedbcc304859fab20ebb5d20a34d1e7cd072b69b98f4f6ae8ab,design_2,introversion,introvert,47,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
b4b5adf36e6cb378a766a4c9cc6a548814d8d4aa44708a21467305b77a4e2fd3,design_2,extroversion,introvert,29,Male,White,United States,United States,United States,English,Yes,Full-Time
d8f29308cfadc487848109bede0e4f856b5575df51887e7441863f3b16fb0907,design_2,introversion,introvert,54,Female,White,United States,United States,United States,English,No,Full-Time
fe48479bbbbfc73b15e85d65e39c6f886936e3a4d60eb0bf3ba39a0c2eb79f4b,design_2,introversion,introvert,50,Male,White,United States,United States,United States,English,No,Other
57205ce80c7884d8a8330d7d84a1c0a85865a7cf0614a1d19d98504e14efe92c,design_2,introversion,introvert,42,Female,Black,United States,United States,United States,English,No,Full-Time
9064f0f9fc70b73c882b1ff3b60bf35ccbdc5966c84ef416e66804c02be0a2c6,design_2,introversion,introvert,62,Male,White,United States,United States,United States,English,No,Full-Time
772845ceed1b9c13009f68f4bbfbc25688024383bac81f03e3f046d46066e1f0,design_2,introversion,introvert,67,Male,White,United States,United States,United States,English,No,Full-Time
38d208a9202e917744fb1a33fe948a7b97d5c451ec950da9a3059ab00c9f137c,design_2,extroversion,introvert,31,Male,White,United States,United States,United States,English,No,Part-Time
a7c7e4eaec2219ab2384bd33cf0a9407ab19f00144363b2ef588d264e0b6cc71,design_2,introversion,introvert,45,Female,White,United States,United States,United States,English,No,Full-Time
a9e50230766dd2618956ae063b3ed7b3600019e7d96224b38eb5dbcdbd4bca74,design_2,extroversion,introvert,34,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
ee6bfaa23b8812bbc0aa3919ad19cb589ecfda91a6ee11aa3fe812930baa5148,design_2,equal,introvert,38,Male,White,United States,United States,United States,English,No,Full-Time
e9ddb711e6b184fb81b1581f6bf8c0e2b8351b6604569f113fb8ee527ba7c73d,design_2,introversion,introvert,34,Female,Asian,Japan,United States,Japan,Japanese,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
fed25dbbacfbdd74a582acb9f5e9954bb4e099f7ca8190ccb62060458fd32705,design_2,extroversion,introvert,29,Male,White,United States,United States,United States,English,No,Part-Time
dd73aa4ef01506fa0647c38634b080098bdc2d93f7a1ed1920d38014fdb9f68b,design_2,extroversion,introvert,39,Male,Asian,United States,United States,United States,English,Yes,Full-Time
a3289beb1adea86ea37f8643f105cef62e33655210aad991fd183cc928843d14,design_2,extroversion,introvert,22,Female,Asian,United States,United States,United States,English,No,Unemployed (and job seeking)
87cf5f74f601b29edba438a786683c9d75433f60a29c314a2b55cc50118c17c8,design_2,introversion,introvert,33,Male,Asian,Vietnam,United States,United States,English,No,Full-Time
ed05a23b28eb66dca774d60267fc4b02895bfa96a37addb0ef9a6b8a8bd4d434,design_2,introversion,introvert,32,Male,Asian,United States,United States,United States,English,No,Full-Time
ccbcdfc1c6f42a8bf327e0dddbde4e99b5462133368a1bcf01e6f5413b8c7d7c,design_2,extroversion,introvert,33,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
3ff59727b6c167f18ada3c75693fed5cb0d98e5d34339bacc2b9ff0b4b3d8380,design_2,extroversion,introvert,46,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
224f3157f1be69113b886541980155f24d00a4a3a25433f1dc507175396730e2,design_2,introversion,introvert,35,Female,White,United States,United States,United States,English,Yes,Full-Time
204b35f9398ad00faf3a221a925dbc8e02758fb6bc30e384d032e3d5f4ee7e94,design_2,extroversion,introvert,29,Male,White,United States,United States,United States,English,No,DATA_EXPIRED
6c1eb8623b18c19cc79ab4827e6bd999162d79dd131aef22370114c675f49b82,design_2,equal,introvert,38,Male,Other,United States,United States,United States,English,No,Full-Time
aef56c133a608450b75130630c5a3fc91fdfa1841ca94ca8703b6efedb5a570c,design_2,introversion,introvert,49,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking)
85757d9c65b39853fc641c20ac59b2fbe07bbaa4385ad4361049f8b6b2731f2a,design_2,introversion,introvert,31,Female,Asian,United States,United States,United States,English,No,Full-Time
b790e82878c10daa7ca636c9a7c61a5f8621f232c0785c44d91acd2cdad7a77b,design_2,equal,introvert,25,Female,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
737cf2c2d5a4a4874f44d0c9de783a53308e83390060e6ecb0f7a8399e505646,design_2,introversion,introvert,42,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6104f7d117e97012af866c9dfb91495bf6710efb4bf12da8365a467c014817f9,design_2,introversion,introvert,36,Male,Mixed,United States,United States,United States,English,No,Full-Time
e24f49683fede6f07596e95fa1da49bfb876321d19edf20f4774ecb7d5646757,design_2,introversion,introvert,37,Female,White,United States,United States,United States,English,No,Full-Time
a36442e2a6e004ecb2451ab8785631e8a272add3815e4118e1f15a6d2142f108,design_2,introversion,introvert,27,Male,Black,United States,United States,United States,English,Yes,Full-Time
85e51ca998e343b4644f0a4bb88a2e447f1eda1295a93d98c567cf453ac540ed,design_2,extroversion,introvert,42,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking)
22c473471f0c0ea8144858239f5b52adb45c09917b02d63310a72bde7654cf60,design_2,introversion,introvert,40,Female,Black,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
b788833fe48af383a26a32f143708c5b48b3eb0a7187cbed180079c2f172d176,design_2,extroversion,introvert,36,Male,White,United States,United States,United States,English,No,Full-Time
ca2f03c8345a52afd7b9f2bcc97806a4ae348e00596c39ae5f1732225e573706,design_2,equal,introvert,60,Female,White,United Kingdom,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
2a489f4448dd826b9f002353754e5218907e85fe7197392462673672f0daee2f,design_2,introversion,introvert,22,Female,White,United States,United States,United States,English,DATA_EXPIRED,Part-Time
a6522b5baebf6c7891cb4b65d6263544a8cc5a763143fd61d4d10ded276a762e,design_2,introversion,introvert,36,Male,White,United States,United States,United States,English,No,Full-Time
9c64d498d09805bd46dc6893a949df856b29a890be1c5d1aba11a8f90a19c790,design_2,introversion,introvert,52,Female,White,United States,United States,United States,English,Yes,Part-Time
43bc4cae53d0483604ec25ab4e25ed02b0446367c1470ed415905cad819ebc2e,design_2,extroversion,introvert,21,Male,Mixed,United States,United States,United States,English,Yes,Other
c8c531ce2abbe3900f7fd1afc4862cd33b4b64a3520f4a6056fc205fdaee1883,design_2,introversion,introvert,34,Female,White,United States,United States,United States,English,Yes,Full-Time
f948181cb5fe53c032af4ddf13ea21cb170c3414012c72d215256aa43560e920,design_2,introversion,introvert,31,Female,White,United States,United States,United States,English,No,Full-Time
0b1a7ead97d854d59c9bb46d86bce2197f0bac535a79ef771d96daabfa40b86e,design_2,extroversion,introvert,56,Male,White,United States,United States,United States,English,No,Full-Time
003a15c5f241c9d1346062fdac0d04dbe7b5c7af53d77e65e23a31f23bab17ac,design_2,extroversion,introvert,34,Male,White,United States,United States,United States,English,No,Full-Time
fba6b0552b45f592bc548832cb2c37bde85b69293f44913b79f0bc1d19b6f6a8,design_2,introversion,introvert,30,Female,White,United States,United States,United States,English,No,Full-Time
fd31081c3741c3838ee2a87a5526a4e11399ec1a6f1069ea177d3fd8ac40c89d,design_2,extroversion,introvert,39,Female,Mixed,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
639592be64cbe6a1d55f81b2d0d2ac97bf222395ff1ae923019899de59c76e91,design_2,extroversion,introvert,29,Female,Asian,Bangladesh,United States,Bangladesh,Bengali,Yes,Full-Time
97eaab3d7da7bd2f45a3ae24e50878eb5c1b2c8909d091d1047d159fd37aff78,design_2,introversion,introvert,45,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
db605737fd93f68a05549324876322cc1709adc894d35a25efa97ae466152ada,design_2,extroversion,introvert,40,Female,Asian,United States,United States,United States,English,No,Full-Time
584dad99ee520a7e61ee86f1c6eca0782b19e8ec6c124e3fb7b0dccb55051135,design_2,introversion,introvert,26,Female,White,United States,United States,United States,English,No,Full-Time
2ba3a5ef252ad44729b4755d01897f33262fd9f10bdf4bd9ec865c4629fbd608,design_2,introversion,introvert,62,Female,White,United States,United States,United States,English,No,Part-Time
76d9a3c634a9d590514871b0ee6fb2e794480dbe7bac618740283c36c94ea4d3,design_2,extroversion,introvert,57,Male,White,United States,United States,Germany,English,DATA_EXPIRED,DATA_EXPIRED
ab1d1e37a482f8a86f14015ddeb263c6390a14d943d1e646a33bd1816eac59f2,design_2,introversion,introvert,44,Female,Asian,United States,United States,United States,English,No,DATA_EXPIRED
2946382a4cc6aa39b9c65b2e67b91f829af57d67332e122b15f7f0fff5791bc6,design_2,introversion,introvert,28,Female,White,United States,United States,United States,English,No,Full-Time
